case,case_label,p,device,cuda_name,data_seed,init_seed,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_path
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,0,375,0.00374050310380198,0.0029726211318348676,0.0014352507122123363,0.0020306252058985737,0.0011194585367565472,0.0010530626551179005,0.0014177926302692593,0.0013537489733682672,0.001483033923051279,0.0018281192053452508,0.0017382432841730388,0.0019737867681602368,-1.2313565164858764,-11.077286424277702,0.07786630000009609
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,1,875,0.00374050310380198,0.0026967872946276387,0.0011915500254892739,0.0016001762747728135,0.0011194585367565472,0.0010530626551179005,0.0012201084816870424,0.0012045426626776322,0.0012287369171120213,0.0017064912827059763,0.0016197164385850062,0.0017267127775339004,2.3406489362553047,6.230035219668956,0.1529860999999073
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,2,1375,0.00374050310380198,0.0026846462058147174,0.0011462942042981211,0.0015188143827009155,0.0011194585367565472,0.0010530626551179005,0.0011805140896034216,0.0011705795904287824,0.0011909411214616914,0.0015778924340235693,0.0015183390250152755,0.001675819055871888,2.8987273939946108,3.744111452008604,0.2312459999998282
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,3,1875,0.00374050310380198,0.002650465422455945,0.0011212345715658923,0.001447424152165109,0.0011194585367565472,0.0010530626551179005,0.0011625119337175774,0.0011585169229543645,0.001174598380461076,0.0015773150086624652,0.0015421839783991609,0.0016141946891552288,3.5507043802711697,8.234934416017595,0.3182741000000533
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,4,2375,0.00374050310380198,0.0026478950574816123,0.0011092402409703564,0.0014065963812180124,0.0011194585367565472,0.0010530626551179005,0.0011354131373286576,0.00113372982202387,0.001143363291409699,0.001510679202633355,0.0014816950146562197,0.0015599287950001557,2.305142991376647,6.889803025944197,0.41898159999982454
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,5,2875,0.00374050310380198,0.002643928960104733,0.0011047501205961015,0.0016161017531872613,0.0011194585367565472,0.0010530626551179005,0.001129659487458136,0.0011245385454400306,0.0011374402434280557,0.0015329088637084651,0.0014469402928141673,0.0015588442165173203,2.205033210324595,-5.427125607293643,0.5624159999997573
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,0,750,0.00374050310380198,0.002742303039584389,0.001302794488670805,0.0017570454196746633,0.0007087368929997472,0.0009079452769296575,0.001227645054195448,0.001200353333444359,0.001238588320650453,0.0016365803671216427,0.0015753297172557772,0.001683427704093245,-6.121430149417829,-7.36077830170297,0.07183219999978974
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,1,1250,0.00374050310380198,0.0026762217065643317,0.00114414231404239,0.0015225809322639897,0.0007087368929997472,0.0009079452769296575,0.0012213954288274086,0.0012057577495688785,0.0012309663207372666,0.00161770668807235,0.0015792236678208666,0.001691264292081605,6.324988039228605,5.880284510767003,0.15381429999979446
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,2,1750,0.00374050310380198,0.002662631180759407,0.001129015486672441,0.0015928053403868507,0.0007087368929997472,0.0009079452769296575,0.0011744872529397135,0.001169953182477273,0.0011895159049104976,0.0016122780582974062,0.001493494383537017,0.001658493638074898,3.8716270571228266,1.2077766493404338,0.2369395999999142
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,3,2250,0.00374050310380198,0.0026429717693730423,0.0011159340190623418,0.001500907056711506,0.0007087368929997472,0.0009079452769296575,0.0011500356569258754,0.0011461735183795993,0.0011569327377278138,0.00152721562931976,0.0014493799297230858,0.0015620160890917453,2.9652678730579227,1.7226495134791286,0.34455149999985224
